Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2003-06-21,1,You Are So Good To Me,Third Day,-,1,1
2003-06-21,2,Everything To Me,Avalon,-,2,1
2003-06-21,3,I Thank You,Rebecca St. James,-,3,1
2003-06-21,4,Legacy,Nichole Nordeman,-,4,1
2003-06-21,5,You Found Me,FFH,-,5,1
2003-06-21,6,He Reigns,Newsboys,-,6,1
2003-06-21,7,Word Of God Speak,MercyMe,-,7,1
2003-06-21,8,Day By Day,Point Of Grace,-,8,1
2003-06-21,9,My Praise,"Phillips, Craig & Dean",-,9,1
2003-06-21,10,Every Moment,Joy Williams,-,10,1
2003-06-21,11,Holy,Nichole Nordeman,-,11,1
2003-06-21,12,Water,Kristy Starling,-,12,1
2003-06-21,13,I Still Believe,Jeremy Camp,-,13,1
2003-06-21,14,The Valley Song (Sing Of Your Mercy),Jars of Clay,-,14,1
2003-06-21,15,Pierced,Audio Adrenaline,-,15,1
2003-06-21,16,Long Before The Sun,Scott Krippayne,-,16,1
2003-06-21,17,Strong Enough,Stacie Orrico,-,17,1
2003-06-21,18,Falling Down,Bebo Norman,-,18,1
2003-06-21,19,My Heart Goes Out,Warren Barfield,-,19,1
2003-06-21,20,How Do I Love Her,Steven Curtis Chapman,-,20,1
2003-06-21,21,Less Like Scars,Sara Groves,-,21,1
2003-06-21,22,Smile (Just Want To Be With You),Chris Rice,-,22,1
2003-06-21,23,We Bow Down,Twila Paris,-,23,1
2003-06-21,24,I Smile,Russ Lee,-,24,1
2003-06-21,25,The Man You Want Me To Be,Phil Joel,-,25,1
2003-06-21,26,Audience Of One,Big Daddy Weave,-,26,1
2003-06-21,27,Turn! Turn! Turn!,Jim Witter,-,27,1
2003-06-21,28,In Christ,Big Daddy Weave,-,28,1
2003-06-21,29,We Delight,Caedmon's Call,-,29,1
2003-06-21,30,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,-,30,1
2003-06-28,1,You Are So Good To Me,Third Day,1,1,2
2003-06-28,2,I Thank You,Rebecca St. James,3,2,2
2003-06-28,3,Everything To Me,Avalon,2,2,2
2003-06-28,4,Word Of God Speak,MercyMe,7,4,2
2003-06-28,5,Legacy,Nichole Nordeman,4,4,2
2003-06-28,6,Day By Day,Point Of Grace,8,6,2
2003-06-28,7,You Found Me,FFH,5,5,2
2003-06-28,8,My Praise,"Phillips, Craig & Dean",9,8,2
2003-06-28,9,He Reigns,Newsboys,6,6,2
2003-06-28,10,Every Moment,Joy Williams,10,10,2
2003-06-28,11,Water,Kristy Starling,12,11,2
2003-06-28,12,I Still Believe,Jeremy Camp,13,12,2
2003-06-28,13,How Do I Love Her,Steven Curtis Chapman,20,13,2
2003-06-28,14,Holy,Nichole Nordeman,11,11,2
2003-06-28,15,The Valley Song (Sing Of Your Mercy),Jars of Clay,14,14,2
2003-06-28,16,Smile (Just Want To Be With You),Chris Rice,22,16,2
2003-06-28,17,Pierced,Audio Adrenaline,15,15,2
2003-06-28,18,My Heart Goes Out,Warren Barfield,19,18,2
2003-06-28,19,Strong Enough,Stacie Orrico,17,17,2
2003-06-28,20,Falling Down,Bebo Norman,18,18,2
2003-06-28,21,Long Before The Sun,Scott Krippayne,16,16,2
2003-06-28,22,We Bow Down,Twila Paris,23,22,2
2003-06-28,23,I Smile,Russ Lee,24,23,2
2003-06-28,24,Turn! Turn! Turn!,Jim Witter,27,24,2
2003-06-28,25,Less Like Scars,Sara Groves,21,21,2
2003-06-28,26,The Man You Want Me To Be,Phil Joel,25,25,2
2003-06-28,27,In Christ,Big Daddy Weave,28,27,2
2003-06-28,28,Audience Of One,Big Daddy Weave,26,26,2
2003-06-28,29,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,30,29,2
2003-06-28,30,No Place So Far,Erin O'Donnell,35,30,2
2003-07-05,1,You Are So Good To Me,Third Day,1,1,3
2003-07-05,2,I Thank You,Rebecca St. James,2,2,3
2003-07-05,3,Everything To Me,Avalon,3,2,3
2003-07-05,4,Word Of God Speak,MercyMe,4,4,3
2003-07-05,5,Legacy,Nichole Nordeman,5,4,3
2003-07-05,6,Day By Day,Point Of Grace,6,6,3
2003-07-05,7,You Found Me,FFH,7,5,3
2003-07-05,8,He Reigns,Newsboys,9,6,3
2003-07-05,9,Every Moment,Joy Williams,10,9,3
2003-07-05,10,My Praise,"Phillips, Craig & Dean",8,8,3
2003-07-05,11,How Do I Love Her,Steven Curtis Chapman,13,11,3
2003-07-05,12,Water,Kristy Starling,11,11,3
2003-07-05,13,I Still Believe,Jeremy Camp,12,12,3
2003-07-05,14,Holy,Nichole Nordeman,14,11,3
2003-07-05,15,The Valley Song (Sing Of Your Mercy),Jars of Clay,15,14,3
2003-07-05,16,Smile (Just Want To Be With You),Chris Rice,16,16,3
2003-07-05,17,My Heart Goes Out,Warren Barfield,18,17,3
2003-07-05,18,Pierced,Audio Adrenaline,17,15,3
2003-07-05,19,Falling Down,Bebo Norman,20,18,3
2003-07-05,20,Long Before The Sun,Scott Krippayne,21,16,3
2003-07-05,21,Turn! Turn! Turn!,Jim Witter,24,21,3
2003-07-05,22,Strong Enough,Stacie Orrico,19,17,3
2003-07-05,23,Less Like Scars,Sara Groves,25,21,3
2003-07-05,24,Audience Of One,Big Daddy Weave,28,24,3
2003-07-05,25,The Man You Want Me To Be,Phil Joel,26,25,3
2003-07-05,26,We Bow Down,Twila Paris,22,22,3
2003-07-05,27,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,29,27,3
2003-07-05,28,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",33,28,2
2003-07-05,29,In Christ,Big Daddy Weave,27,27,3
2003-07-05,30,Cry Holy,Sonicflood,-,30,1
2003-07-12,1,You Are So Good To Me,Third Day,1,1,4
2003-07-12,2,I Thank You,Rebecca St. James,2,2,4
2003-07-12,3,Day By Day,Point Of Grace,6,3,4
2003-07-12,4,Everything To Me,Avalon,3,2,4
2003-07-12,5,Legacy,Nichole Nordeman,5,4,4
2003-07-12,6,Word Of God Speak,MercyMe,4,4,4
2003-07-12,7,He Reigns,Newsboys,8,6,4
2003-07-12,8,You Found Me,FFH,7,5,4
2003-07-12,9,Every Moment,Joy Williams,9,9,4
2003-07-12,10,I Still Believe,Jeremy Camp,13,10,4
2003-07-12,11,My Praise,"Phillips, Craig & Dean",10,8,4
2003-07-12,12,Holy,Nichole Nordeman,14,11,4
2003-07-12,13,How Do I Love Her,Steven Curtis Chapman,11,11,4
2003-07-12,14,Water,Kristy Starling,12,11,4
2003-07-12,15,Pierced,Audio Adrenaline,18,15,4
2003-07-12,16,Smile (Just Want To Be With You),Chris Rice,16,16,4
2003-07-12,17,The Valley Song (Sing Of Your Mercy),Jars of Clay,15,14,4
2003-07-12,18,My Heart Goes Out,Warren Barfield,17,17,4
2003-07-12,19,Turn! Turn! Turn!,Jim Witter,21,19,4
2003-07-12,20,Long Before The Sun,Scott Krippayne,20,16,4
2003-07-12,21,Audience Of One,Big Daddy Weave,24,21,4
2003-07-12,22,We Bow Down,Twila Paris,26,22,4
2003-07-12,23,Falling Down,Bebo Norman,19,18,4
2003-07-12,24,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,27,24,4
2003-07-12,25,Simple Things,Amy Grant,-,25,1
2003-07-12,26,The Man You Want Me To Be,Phil Joel,25,25,4
2003-07-12,27,Cry Holy,Sonicflood,30,27,2
2003-07-12,28,You Get Me,ZOEgirl,-,28,1
2003-07-12,29,Hands Of The Potter,Caedmon's Call,-,29,1
2003-07-12,30,We Delight,Caedmon's Call,39,29,4
2003-07-19,1,You Are So Good To Me,Third Day,1,1,5
2003-07-19,2,I Thank You,Rebecca St. James,2,2,5
2003-07-19,3,Day By Day,Point Of Grace,3,3,5
2003-07-19,4,Legacy,Nichole Nordeman,5,4,5
2003-07-19,5,Everything To Me,Avalon,4,2,5
2003-07-19,6,Word Of God Speak,MercyMe,6,4,5
2003-07-19,7,Every Moment,Joy Williams,9,7,5
2003-07-19,8,I Still Believe,Jeremy Camp,10,8,5
2003-07-19,9,My Praise,"Phillips, Craig & Dean",11,8,5
2003-07-19,10,How Do I Love Her,Steven Curtis Chapman,13,10,5
2003-07-19,11,He Reigns,Newsboys,7,6,5
2003-07-19,12,Smile (Just Want To Be With You),Chris Rice,16,12,5
2003-07-19,13,You Found Me,FFH,8,5,5
2003-07-19,14,Water,Kristy Starling,14,11,5
2003-07-19,15,My Heart Goes Out,Warren Barfield,18,15,5
2003-07-19,16,Pierced,Audio Adrenaline,15,15,5
2003-07-19,17,Holy,Nichole Nordeman,12,11,5
2003-07-19,18,The Valley Song (Sing Of Your Mercy),Jars of Clay,17,14,5
2003-07-19,19,Audience Of One,Big Daddy Weave,21,19,5
2003-07-19,20,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",31,20,4
2003-07-19,21,Falling Down,Bebo Norman,23,18,5
2003-07-19,22,Long Before The Sun,Scott Krippayne,20,16,5
2003-07-19,23,You Get Me,ZOEgirl,28,23,2
2003-07-19,24,We Bow Down,Twila Paris,22,22,5
2003-07-19,25,Less Like Scars,Sara Groves,37,21,5
2003-07-19,26,Turn! Turn! Turn!,Jim Witter,19,19,5
2003-07-19,27,Simple Things,Amy Grant,25,25,2
2003-07-19,28,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,24,24,5
2003-07-19,29,Cry Holy,Sonicflood,27,27,3
2003-07-19,30,Strong Enough,Stacie Orrico,-,17,4
2003-07-26,1,You Are So Good To Me,Third Day,1,1,6
2003-07-26,2,Day By Day,Point Of Grace,3,2,6
2003-07-26,3,Everything To Me,Avalon,5,2,6
2003-07-26,4,Legacy,Nichole Nordeman,4,4,6
2003-07-26,5,Word Of God Speak,MercyMe,6,4,6
2003-07-26,6,I Thank You,Rebecca St. James,2,2,6
2003-07-26,7,My Heart Goes Out,Warren Barfield,15,7,6
2003-07-26,8,How Do I Love Her,Steven Curtis Chapman,10,8,6
2003-07-26,9,He Reigns,Newsboys,11,6,6
2003-07-26,10,I Still Believe,Jeremy Camp,8,8,6
2003-07-26,11,Smile (Just Want To Be With You),Chris Rice,12,11,6
2003-07-26,12,My Praise,"Phillips, Craig & Dean",9,8,6
2003-07-26,13,Every Moment,Joy Williams,7,7,6
2003-07-26,14,Water,Kristy Starling,14,11,6
2003-07-26,15,Pierced,Audio Adrenaline,16,15,6
2003-07-26,16,Holy,Nichole Nordeman,17,11,6
2003-07-26,17,You Get Me,ZOEgirl,23,17,3
2003-07-26,18,You Found Me,FFH,13,5,6
2003-07-26,19,Simple Things,Amy Grant,27,19,3
2003-07-26,20,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,28,20,6
2003-07-26,21,The Valley Song (Sing Of Your Mercy),Jars of Clay,18,14,6
2003-07-26,22,Audience Of One,Big Daddy Weave,19,19,6
2003-07-26,23,Falling Down,Bebo Norman,21,18,6
2003-07-26,24,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",20,20,5
2003-07-26,25,Cry Holy,Sonicflood,29,25,4
2003-07-26,26,I Give You My Heart,Jeff Deyo,-,26,2
2003-07-26,27,Long Before The Sun,Scott Krippayne,22,16,6
2003-07-26,28,Hands Of The Potter,Caedmon's Call,31,28,3
2003-07-26,29,Turn! Turn! Turn!,Jim Witter,26,19,6
2003-07-26,30,We Delight,Caedmon's Call,33,29,6
2003-08-02,1,Day By Day,Point Of Grace,2,1,7
2003-08-02,2,You Are So Good To Me,Third Day,1,1,7
2003-08-02,3,Word Of God Speak,MercyMe,5,3,7
2003-08-02,4,Legacy,Nichole Nordeman,4,4,7
2003-08-02,5,Everything To Me,Avalon,3,2,7
2003-08-02,6,My Heart Goes Out,Warren Barfield,7,6,7
2003-08-02,7,I Still Believe,Jeremy Camp,10,7,7
2003-08-02,8,How Do I Love Her,Steven Curtis Chapman,8,8,7
2003-08-02,9,I Thank You,Rebecca St. James,6,2,7
2003-08-02,10,He Reigns,Newsboys,9,6,7
2003-08-02,11,Smile (Just Want To Be With You),Chris Rice,11,11,7
2003-08-02,12,My Praise,"Phillips, Craig & Dean",12,8,7
2003-08-02,13,Every Moment,Joy Williams,13,7,7
2003-08-02,14,You Get Me,ZOEgirl,17,14,4
2003-08-02,15,Holy,Nichole Nordeman,16,11,7
2003-08-02,16,Water,Kristy Starling,14,11,7
2003-08-02,17,Pierced,Audio Adrenaline,15,15,7
2003-08-02,18,Simple Things,Amy Grant,19,18,4
2003-08-02,19,You Found Me,FFH,18,5,7
2003-08-02,20,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,20,20,7
2003-08-02,21,See You,Shaun Groves,-,21,1
2003-08-02,22,The Valley Song (Sing Of Your Mercy),Jars of Clay,21,14,7
2003-08-02,23,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",24,20,6
2003-08-02,24,Hands Of The Potter,Caedmon's Call,28,24,4
2003-08-02,25,Falling Down,Bebo Norman,23,18,7
2003-08-02,26,I Give You My Heart,Jeff Deyo,26,26,3
2003-08-02,27,Cry Holy,Sonicflood,25,25,5
2003-08-02,28,Audience Of One,Big Daddy Weave,22,19,7
2003-08-02,29,Turn! Turn! Turn!,Jim Witter,29,19,7
2003-08-02,30,Jesus Is,Jaci Velasquez,36,30,2
2003-08-09,1,You Are So Good To Me,Third Day,2,1,8
2003-08-09,2,Day By Day,Point Of Grace,1,1,8
2003-08-09,3,Word Of God Speak,MercyMe,3,3,8
2003-08-09,4,Legacy,Nichole Nordeman,4,4,8
2003-08-09,5,My Heart Goes Out,Warren Barfield,6,5,8
2003-08-09,6,Everything To Me,Avalon,5,2,8
2003-08-09,7,I Still Believe,Jeremy Camp,7,7,8
2003-08-09,8,How Do I Love Her,Steven Curtis Chapman,8,8,8
2003-08-09,9,I Thank You,Rebecca St. James,9,2,8
2003-08-09,10,Smile (Just Want To Be With You),Chris Rice,11,10,8
2003-08-09,11,He Reigns,Newsboys,10,6,8
2003-08-09,12,You Get Me,ZOEgirl,14,12,5
2003-08-09,13,Every Moment,Joy Williams,13,7,8
2003-08-09,14,Pierced,Audio Adrenaline,17,14,8
2003-08-09,15,Holy,Nichole Nordeman,15,11,8
2003-08-09,16,My Praise,"Phillips, Craig & Dean",12,8,8
2003-08-09,17,Simple Things,Amy Grant,18,17,5
2003-08-09,18,Cry Holy,Sonicflood,27,18,6
2003-08-09,19,You Found Me,FFH,19,5,8
2003-08-09,20,See You,Shaun Groves,21,20,2
2003-08-09,21,The Valley Song (Sing Of Your Mercy),Jars of Clay,22,14,8
2003-08-09,22,I Give You My Heart,Jeff Deyo,26,22,4
2003-08-09,23,Hands Of The Potter,Caedmon's Call,24,23,5
2003-08-09,24,Water,Kristy Starling,16,11,8
2003-08-09,25,Falling Down,Bebo Norman,25,18,8
2003-08-09,26,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",23,20,7
2003-08-09,27,Audience Of One,Big Daddy Weave,28,19,8
2003-08-09,28,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,20,20,8
2003-08-09,29,Jesus Is,Jaci Velasquez,30,29,3
2003-08-09,30,(There's Gotta Be) More To Life,Stacie Orrico,34,30,2
2003-08-16,1,Word Of God Speak,MercyMe,3,1,9
2003-08-16,2,You Are So Good To Me,Third Day,1,1,9
2003-08-16,3,Day By Day,Point Of Grace,2,1,9
2003-08-16,4,Everything To Me,Avalon,6,2,9
2003-08-16,5,My Heart Goes Out,Warren Barfield,5,5,9
2003-08-16,6,I Still Believe,Jeremy Camp,7,6,9
2003-08-16,7,How Do I Love Her,Steven Curtis Chapman,8,7,9
2003-08-16,8,Legacy,Nichole Nordeman,4,4,9
2003-08-16,9,Smile (Just Want To Be With You),Chris Rice,10,9,9
2003-08-16,10,You Get Me,ZOEgirl,12,10,6
2003-08-16,11,I Thank You,Rebecca St. James,9,2,9
2003-08-16,12,Simple Things,Amy Grant,17,12,6
2003-08-16,13,He Reigns,Newsboys,11,6,9
2003-08-16,14,Holy,Nichole Nordeman,15,11,9
2003-08-16,15,Pierced,Audio Adrenaline,14,14,9
2003-08-16,16,My Praise,"Phillips, Craig & Dean",16,8,9
2003-08-16,17,Cry Holy,Sonicflood,18,17,7
2003-08-16,18,Hands Of The Potter,Caedmon's Call,23,18,6
2003-08-16,19,See You,Shaun Groves,20,19,3
2003-08-16,20,Every Moment,Joy Williams,13,7,9
2003-08-16,21,I Give You My Heart,Jeff Deyo,22,21,5
2003-08-16,22,The Valley Song (Sing Of Your Mercy),Jars of Clay,21,14,9
2003-08-16,23,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,28,20,9
2003-08-16,24,You Found Me,FFH,19,5,9
2003-08-16,25,Audience Of One,Big Daddy Weave,27,19,9
2003-08-16,26,Falling Down,Bebo Norman,25,18,9
2003-08-16,27,(There's Gotta Be) More To Life,Stacie Orrico,30,27,3
2003-08-16,28,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",26,20,8
2003-08-16,29,Jesus Is,Jaci Velasquez,29,29,4
2003-08-16,30,You Are My King (Amazing Love),Newsboys,-,30,1
2003-08-23,1,Word Of God Speak,MercyMe,1,1,10
2003-08-23,2,You Are So Good To Me,Third Day,2,1,10
2003-08-23,3,My Heart Goes Out,Warren Barfield,5,3,10
2003-08-23,4,Day By Day,Point Of Grace,3,1,10
2003-08-23,5,Everything To Me,Avalon,4,2,10
2003-08-23,6,I Still Believe,Jeremy Camp,6,6,10
2003-08-23,7,Smile (Just Want To Be With You),Chris Rice,9,7,10
2003-08-23,8,Legacy,Nichole Nordeman,8,4,10
2003-08-23,9,How Do I Love Her,Steven Curtis Chapman,7,7,10
2003-08-23,10,You Get Me,ZOEgirl,10,10,7
2003-08-23,11,He Reigns,Newsboys,13,6,10
2003-08-23,12,Simple Things,Amy Grant,12,12,7
2003-08-23,13,I Thank You,Rebecca St. James,11,2,10
2003-08-23,14,Cry Holy,Sonicflood,17,14,8
2003-08-23,15,Holy,Nichole Nordeman,14,11,10
2003-08-23,16,Hands Of The Potter,Caedmon's Call,18,16,7
2003-08-23,17,Pierced,Audio Adrenaline,15,14,10
2003-08-23,18,My Praise,"Phillips, Craig & Dean",16,8,10
2003-08-23,19,You Are My King (Amazing Love),Newsboys,30,19,2
2003-08-23,20,See You,Shaun Groves,19,19,4
2003-08-23,21,Every Moment,Joy Williams,20,7,10
2003-08-23,22,The Valley Song (Sing Of Your Mercy),Jars of Clay,22,14,10
2003-08-23,23,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,23,20,10
2003-08-23,24,Audience Of One,Big Daddy Weave,25,19,10
2003-08-23,25,Found By You,Across The Sky,31,25,4
2003-08-23,26,Jesus Is,Jaci Velasquez,29,26,5
2003-08-23,27,I Give You My Heart,Jeff Deyo,21,21,6
2003-08-23,28,Falling Down,Bebo Norman,26,18,10
2003-08-23,29,Salt And Light,Jami Smith,32,29,5
2003-08-23,30,(There's Gotta Be) More To Life,Stacie Orrico,27,27,4
2003-08-30,1,Word Of God Speak,MercyMe,1,1,11
2003-08-30,2,My Heart Goes Out,Warren Barfield,3,2,11
2003-08-30,3,Day By Day,Point Of Grace,4,1,11
2003-08-30,4,You Are So Good To Me,Third Day,2,1,11
2003-08-30,5,Smile (Just Want To Be With You),Chris Rice,7,5,11
2003-08-30,6,Simple Things,Amy Grant,12,6,8
2003-08-30,7,I Still Believe,Jeremy Camp,6,6,11
2003-08-30,8,You Get Me,ZOEgirl,10,8,8
2003-08-30,9,Everything To Me,Avalon,5,2,11
2003-08-30,10,Legacy,Nichole Nordeman,8,4,11
2003-08-30,11,How Do I Love Her,Steven Curtis Chapman,9,7,11
2003-08-30,12,You Are My King (Amazing Love),Newsboys,19,12,3
2003-08-30,13,Cry Holy,Sonicflood,14,13,9
2003-08-30,14,He Reigns,Newsboys,11,6,11
2003-08-30,15,Hands Of The Potter,Caedmon's Call,16,15,8
2003-08-30,16,Holy,Nichole Nordeman,15,11,11
2003-08-30,17,See You,Shaun Groves,20,17,5
2003-08-30,18,My Praise,"Phillips, Craig & Dean",18,8,11
2003-08-30,19,Pierced,Audio Adrenaline,17,14,11
2003-08-30,20,Every Moment,Joy Williams,21,7,11
2003-08-30,21,I Thank You,Rebecca St. James,13,2,11
2003-08-30,22,Salt And Light,Jami Smith,29,22,6
2003-08-30,23,(There's Gotta Be) More To Life,Stacie Orrico,30,23,5
2003-08-30,24,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,23,20,11
2003-08-30,25,Jesus Is,Jaci Velasquez,26,25,6
2003-08-30,26,I Give You My Heart,Jeff Deyo,27,21,7
2003-08-30,27,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",31,20,10
2003-08-30,28,The Valley Song (Sing Of Your Mercy),Jars of Clay,22,14,11
2003-08-30,29,Found By You,Across The Sky,25,25,5
2003-08-30,30,Ready To Fly,FFH,33,30,2
2003-09-06,1,Word Of God Speak,MercyMe,1,1,12
2003-09-06,2,My Heart Goes Out,Warren Barfield,2,2,12
2003-09-06,3,You Are So Good To Me,Third Day,4,1,12
2003-09-06,4,You Get Me,ZOEgirl,8,4,9
2003-09-06,5,Smile (Just Want To Be With You),Chris Rice,5,5,12
2003-09-06,6,Simple Things,Amy Grant,6,6,9
2003-09-06,7,I Still Believe,Jeremy Camp,7,6,12
2003-09-06,8,Day By Day,Point Of Grace,3,1,12
2003-09-06,9,Everything To Me,Avalon,9,2,12
2003-09-06,10,You Are My King (Amazing Love),Newsboys,12,10,4
2003-09-06,11,Legacy,Nichole Nordeman,10,4,12
2003-09-06,12,How Do I Love Her,Steven Curtis Chapman,11,7,12
2003-09-06,13,Cry Holy,Sonicflood,13,13,10
2003-09-06,14,He Reigns,Newsboys,14,6,12
2003-09-06,15,See You,Shaun Groves,17,15,6
2003-09-06,16,Hands Of The Potter,Caedmon's Call,15,15,9
2003-09-06,17,Holy,Nichole Nordeman,16,11,12
2003-09-06,18,(There's Gotta Be) More To Life,Stacie Orrico,23,18,6
2003-09-06,19,Salt And Light,Jami Smith,22,19,7
2003-09-06,20,My Praise,"Phillips, Craig & Dean",18,8,12
2003-09-06,21,Jesus Is,Jaci Velasquez,25,21,7
2003-09-06,22,Life In My Day,NewSong,33,22,3
2003-09-06,23,Pierced,Audio Adrenaline,19,14,12
2003-09-06,24,Ready To Fly,FFH,30,24,3
2003-09-06,25,I Thank You,Rebecca St. James,21,2,12
2003-09-06,26,Audience Of One,Big Daddy Weave,31,19,12
2003-09-06,27,I Give You My Heart,Jeff Deyo,26,21,8
2003-09-06,28,Found By You,Across The Sky,29,25,6
2003-09-06,29,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",27,20,11
2003-09-06,30,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,24,20,12
2003-09-13,1,Word Of God Speak,MercyMe,1,1,13
2003-09-13,2,Smile (Just Want To Be With You),Chris Rice,5,2,13
2003-09-13,3,You Get Me,ZOEgirl,4,3,10
2003-09-13,4,You Are So Good To Me,Third Day,3,1,13
2003-09-13,5,My Heart Goes Out,Warren Barfield,2,2,13
2003-09-13,6,You Are My King (Amazing Love),Newsboys,10,6,5
2003-09-13,7,Everything To Me,Avalon,9,2,13
2003-09-13,8,Simple Things,Amy Grant,6,6,10
2003-09-13,9,Cry Holy,Sonicflood,13,9,11
2003-09-13,10,Legacy,Nichole Nordeman,11,4,13
2003-09-13,11,I Still Believe,Jeremy Camp,7,6,13
2003-09-13,12,Day By Day,Point Of Grace,8,1,13
2003-09-13,13,Hands Of The Potter,Caedmon's Call,16,13,10
2003-09-13,14,How Do I Love Her,Steven Curtis Chapman,12,7,13
2003-09-13,15,See You,Shaun Groves,15,15,7
2003-09-13,16,(There's Gotta Be) More To Life,Stacie Orrico,18,16,7
2003-09-13,17,He Reigns,Newsboys,14,6,13
2003-09-13,18,Salt And Light,Jami Smith,19,18,8
2003-09-13,19,Holy,Nichole Nordeman,17,11,13
2003-09-13,20,Ready To Fly,FFH,24,20,4
2003-09-13,21,Found By You,Across The Sky,28,21,7
2003-09-13,22,Jesus Is,Jaci Velasquez,21,21,8
2003-09-13,23,Life In My Day,NewSong,22,22,4
2003-09-13,24,My Praise,"Phillips, Craig & Dean",20,8,13
2003-09-13,25,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",29,20,12
2003-09-13,26,Pierced,Audio Adrenaline,23,14,13
2003-09-13,27,New Day,Avalon,33,27,6
2003-09-13,28,I Thank You,Rebecca St. James,25,2,13
2003-09-13,29,The Valley Song (Sing Of Your Mercy),Jars of Clay,32,14,13
2003-09-13,30,Step By Step/Forever We Will Sing (Medley),Michael W. Smith,30,20,13
2003-09-20,1,Word Of God Speak,MercyMe,1,1,14
2003-09-20,2,You Get Me,ZOEgirl,3,2,11
2003-09-20,3,Smile (Just Want To Be With You),Chris Rice,2,2,14
2003-09-20,4,My Heart Goes Out,Warren Barfield,5,2,14
2003-09-20,5,You Are So Good To Me,Third Day,4,1,14
2003-09-20,6,You Are My King (Amazing Love),Newsboys,6,6,6
2003-09-20,7,Simple Things,Amy Grant,8,6,11
2003-09-20,8,Day By Day,Point Of Grace,12,1,14
2003-09-20,9,Legacy,Nichole Nordeman,10,4,14
2003-09-20,10,Cry Holy,Sonicflood,9,9,12
2003-09-20,11,I Still Believe,Jeremy Camp,11,6,14
2003-09-20,12,Everything To Me,Avalon,7,2,14
2003-09-20,13,How Do I Love Her,Steven Curtis Chapman,14,7,14
2003-09-20,14,Hands Of The Potter,Caedmon's Call,13,13,11
2003-09-20,15,Ready To Fly,FFH,20,15,5
2003-09-20,16,(There's Gotta Be) More To Life,Stacie Orrico,16,16,8
2003-09-20,17,See You,Shaun Groves,15,15,8
2003-09-20,18,Found By You,Across The Sky,21,18,8
2003-09-20,19,Signs,Michael W. Smith,35,19,2
2003-09-20,20,He Reigns,Newsboys,17,6,14
2003-09-20,21,New Day,Avalon,27,21,7
2003-09-20,22,Jesus Is,Jaci Velasquez,22,21,9
2003-09-20,23,Life In My Day,NewSong,23,22,5
2003-09-20,24,Holy,Nichole Nordeman,19,11,14
2003-09-20,25,Pierced,Audio Adrenaline,26,14,14
2003-09-20,26,Salt And Light,Jami Smith,18,18,9
2003-09-20,27,My Praise,"Phillips, Craig & Dean",24,8,14
2003-09-20,28,Hallelujah (Your Love Is Amazing),"Phillips, Craig & Dean",25,20,13
2003-09-20,29,I Give You My Heart,Jeff Deyo,31,21,10
2003-09-20,30,Audience Of One,Big Daddy Weave,32,19,14
2003-09-27,1,Word Of God Speak,MercyMe,1,1,15
2003-09-27,2,You Get Me,ZOEgirl,2,2,12
2003-09-27,3,You Are So Good To Me,Third Day,5,1,15
2003-09-27,4,Smile (Just Want To Be With You),Chris Rice,3,2,15
2003-09-27,5,You Are My King (Amazing Love),Newsboys,6,5,7
2003-09-27,6,My Heart Goes Out,Warren Barfield,4,2,15
2003-09-27,7,Simple Things,Amy Grant,7,6,12
2003-09-27,8,Day By Day,Point Of Grace,8,1,15
2003-09-27,9,Cry Holy,Sonicflood,10,9,13
2003-09-27,10,I Still Believe,Jeremy Camp,11,6,15
2003-09-27,11,Everything To Me,Avalon,12,2,15
2003-09-27,12,Legacy,Nichole Nordeman,9,4,15
2003-09-27,13,(There's Gotta Be) More To Life,Stacie Orrico,16,13,9
2003-09-27,14,Ready To Fly,FFH,15,14,6
2003-09-27,15,Found By You,Across The Sky,18,15,9
2003-09-27,16,He Reigns,Newsboys,20,6,15
2003-09-27,17,Hands Of The Potter,Caedmon's Call,14,13,12
2003-09-27,18,Life In My Day,NewSong,23,18,6
2003-09-27,19,New Day,Avalon,21,19,8
2003-09-27,20,Jesus Is,Jaci Velasquez,22,20,10
2003-09-27,21,See You,Shaun Groves,17,15,9
2003-09-27,22,Signs,Michael W. Smith,19,19,3
2003-09-27,23,Holy,Nichole Nordeman,24,11,15
